y,variant,model,rmse,r2,calib_r2,corr,mae,sign
rev_yoy,BASE,N0,22.28033468395877,-0.6355317494087014,,0.3341390945676092,13.830479388286134,0.8421052631578947
rev_yoy,BASE,N2,20.315205715935193,-0.35974668113273145,,0.24982304227399235,16.646273242300257,0.8421052631578947
rev_yoy,BASE,fin,8.64858513982705,0.7528313190176904,0.6944052896983851,0.868861892209293,6.5549786013125875,0.9473684210526315
rev_yoy,BASE,fin+text,6.442831596529966,0.8631219567473439,0.8519155163562036,0.9466804320490194,4.19066826035679,1.0
rev_yoy,BASE,fin+x,5.88998045564725,0.8849473796258788,0.8739737021110886,0.9529710769718229,4.548800335674851,1.0
rev_yoy,BASE,fin+x+text,6.045905657871304,0.8794901474258979,0.8892608666517544,0.9576351434840863,4.0793052200099735,0.9824561403508771
rev_yoy,TOOL,N0,22.28033468395877,-0.6355317494087014,,0.3341390945676092,13.830479388286134,0.8421052631578947
rev_yoy,TOOL,N2,20.315205715935193,-0.35974668113273145,,0.24982304227399235,16.646273242300257,0.8421052631578947
rev_yoy,TOOL,fin,9.050979457723741,0.7299365719351881,0.6756088841422058,0.8554277332461485,6.69058577863309,0.9473684210526315
rev_yoy,TOOL,fin+text,6.136686433864902,0.8757241814789046,0.8660516372777853,0.9527657313231453,4.165480225689714,1.0
rev_yoy,TOOL,fin+x,5.353245611490432,0.9051777117728315,0.892918853009923,0.9593923213902364,4.082177165902382,1.0
rev_yoy,TOOL,fin+x+text,5.990862494509451,0.8813977674943976,0.9008778817611279,0.9622276117757192,4.110391252510319,1.0
surprise_early,BASE,N0,5.763168903092253,-0.7211909071892904,,-0.16786161189246696,3.9166772026348027,0.5263157894736842
surprise_early,BASE,N2,4.454218797143953,-0.028133334505243468,,-0.1481446325059116,3.006609266854936,0.6842105263157895
surprise_early,BASE,fin,4.025219182588139,0.15084432851370436,0.01536662617245658,0.40888972960496067,2.5829027821288526,0.6666666666666666
surprise_early,BASE,fin+text,3.681611268473168,0.2973385403170556,0.10872809778063867,0.5677805182713561,2.4667081624829597,0.631578947368421
surprise_early,BASE,fin+x,3.623966767155224,0.3192200125934984,0.04729804614222358,0.5786757408533111,2.5401829564590224,0.6140350877192983
surprise_early,BASE,fin+x+text,3.4636815428970404,0.37785781713468825,0.24986162318065533,0.6330217254062397,2.283023608547246,0.6315789473684211
surprise_early,TOOL,N0,5.763168903092253,-0.7211909071892904,,-0.16786161189246696,3.9166772026348027,0.5263157894736842
surprise_early,TOOL,N2,4.454218797143953,-0.028133334505243468,,-0.1481446325059116,3.006609266854936,0.6842105263157895
surprise_early,TOOL,fin,4.066695681113537,0.13579938874687678,-0.01249681349899201,0.39326516185457683,2.6188727857968055,0.6315789473684211
surprise_early,TOOL,fin+text,3.6568434823154488,0.3061906163428659,0.12586541602087328,0.5706373869545217,2.399047439021466,0.6842105263157895
surprise_early,TOOL,fin+x,3.4273187107046215,0.3898299243016186,0.17538495626237258,0.640704155667274,2.41821630140165,0.5964912280701754
surprise_early,TOOL,fin+x+text,3.495377920165866,0.36650470556278264,0.22022975772840178,0.6181015785756534,2.3275067715143547,0.6491228070175438
surprise_print,BASE,N0,4.565001953358734,-0.637020250127625,,-0.14332392781234213,3.2146562423510887,0.5789473684210527
surprise_print,BASE,N2,3.5948769615536675,-0.015173278950972202,,-0.12223848214627604,2.3823963904121332,0.7368421052631579
surprise_print,BASE,fin,3.833261257102356,-0.15454891087355582,-0.14854961853541374,0.13567219335580943,2.600566935301789,0.5789473684210527
surprise_print,BASE,fin+text,3.654355401362546,-0.04957385001793013,-0.15284674328081102,0.08288360454593711,2.3602215485697315,0.6666666666666666
surprise_print,BASE,fin+x,3.6147870497359285,-0.028128968302480423,-0.22803857687973492,0.1839322660985199,2.5508334740658563,0.5263157894736842
surprise_print,BASE,fin+x+text,3.6731782062648928,-0.061274270407948674,-0.2568058516808674,0.11923894192362545,2.424782297426758,0.5614035087719298
surprise_print,TOOL,N0,4.565001953358734,-0.637020250127625,,-0.14332392781234213,3.2146562423510887,0.5789473684210527
surprise_print,TOOL,N2,3.5948769615536675,-0.015173278950972202,,-0.12223848214627604,2.3823963904121332,0.7368421052631579
surprise_print,TOOL,fin,3.877154507524691,-0.18144761523929134,-0.15095740359324514,0.1448021339339153,2.6142510939798367,0.5964912280701754
surprise_print,TOOL,fin+text,3.6494301235622433,-0.046301155646403615,-0.18419055723341704,0.0971056549180996,2.4161606776264537,0.7192982456140351
surprise_print,TOOL,fin+x,3.5550378136183745,0.0015787287417735607,-0.2154727092090715,0.22688306905605568,2.625191781142146,0.5438596491228069
surprise_print,TOOL,fin+x+text,3.5885304810247347,-0.012541470432993621,-0.1451318272289197,0.1807373392085804,2.3510473349741243,0.5964912280701754
