seed,y,variant,surrogate_p
2026,rev_yoy,BASE,0.0001999600079984003
2027,rev_yoy,BASE,0.0001999600079984003
2028,rev_yoy,BASE,0.0001999600079984003
2026,rev_yoy,TOOL,0.0001999600079984003
2027,rev_yoy,TOOL,0.0001999600079984003
2028,rev_yoy,TOOL,0.0001999600079984003
2026,surprise_early,BASE,0.014997000599880024
2027,surprise_early,BASE,0.022595480903819236
2028,surprise_early,BASE,0.010997800439912017
2026,surprise_early,TOOL,0.011797640471905619
2027,surprise_early,TOOL,0.015396920615876825
2028,surprise_early,TOOL,0.020995800839832032
2026,surprise_print,BASE,0.5180963807238552
2027,surprise_print,BASE,0.7646470705858828
2028,surprise_print,BASE,0.39232153569286143
2026,surprise_print,TOOL,0.13897220555888823
2027,surprise_print,TOOL,0.3719256148770246
2028,surprise_print,TOOL,0.6292741451709658
