sample,seed,method,label,n,firms,fvu,mae
full_21,2026,historical_average,Historical Avg.,21,16,1.6822271410070249,16.679432516953277
full_21,2026,ols,OLS,21,16,21.794649512661397,82.53313349443087
full_21,2026,gbt,GBT,21,16,6.270182874378896,44.10903290676041
full_21,2026,ensembled_llm,Ensembled LLM,21,16,0.061824683226285385,3.869564008890669
full_21,2026,our_method,Our Method,21,16,0.08297801586930834,3.9432151243510534
full_21,2027,historical_average,Historical Avg.,21,16,1.6822271410070249,16.679432516953277
full_21,2027,ols,OLS,21,16,21.794649512661397,82.53313349443087
full_21,2027,gbt,GBT,21,16,6.270182874378896,44.10903290676041
full_21,2027,ensembled_llm,Ensembled LLM,21,16,0.057154622255045466,3.55206584182637
full_21,2027,our_method,Our Method,21,16,0.07778612610027986,3.7739806847132322
full_21,2028,historical_average,Historical Avg.,21,16,1.6822271410070249,16.679432516953277
full_21,2028,ols,OLS,21,16,21.794649512661397,82.53313349443087
full_21,2028,gbt,GBT,21,16,6.270182874378896,44.10903290676041
full_21,2028,ensembled_llm,Ensembled LLM,21,16,0.06635512911274294,3.9304661068162647
full_21,2028,our_method,Our Method,21,16,0.09955270302741481,4.014024238281337
exact_two_call_19,2026,historical_average,Historical Avg.,19,16,1.635531749408701,13.83047938828613
exact_two_call_19,2026,ols,OLS,19,16,28.578725115243437,83.92794127750082
exact_two_call_19,2026,gbt,GBT,19,16,8.21700824019632,45.812706798238395
exact_two_call_19,2026,ensembled_llm,Ensembled LLM,19,16,0.08313332597639471,4.0151826882836605
exact_two_call_19,2026,our_method,Our Method,19,16,0.11167468146410613,4.025542378220173
exact_two_call_19,2027,historical_average,Historical Avg.,19,16,1.635531749408701,13.83047938828613
exact_two_call_19,2027,ols,OLS,19,16,28.578725115243437,83.92794127750082
exact_two_call_19,2027,gbt,GBT,19,16,8.21700824019632,45.812706798238395
exact_two_call_19,2027,ensembled_llm,Ensembled LLM,19,16,0.07669558011275296,3.6397659065393473
exact_two_call_19,2027,our_method,Our Method,19,16,0.10709667594058903,4.006714898554924
exact_two_call_19,2028,historical_average,Historical Avg.,19,16,1.635531749408701,13.83047938828613
exact_two_call_19,2028,ols,OLS,19,16,28.578725115243437,83.92794127750082
exact_two_call_19,2028,gbt,GBT,19,16,8.21700824019632,45.812706798238395
exact_two_call_19,2028,ensembled_llm,Ensembled LLM,19,16,0.08797885399340782,4.059017520060863
exact_two_call_19,2028,our_method,Our Method,19,16,0.1370353401121121,4.298916480755865
